gene,meta_Z,meta_P,meta_FDR,mean_logFC,n_consistent
IGFLR1,1.51975960542913,0.128571404869899,0.462005998370044,0.13779866477793,3
GIPC1,1.51962574406825,0.128605063866537,0.462005998370044,0.250063951277142,3
PARP16,1.51958499836577,0.128615310598059,0.462005998370044,0.188600555301332,2
HPGDS,-1.51956464609034,0.128620429027016,0.462005998370044,-0.262666734325928,3
WRAP53,1.51851063459092,0.128885720646228,0.462660011486194,0.175184909539529,3
PRDX1,1.51846471775703,0.128897287435956,0.462660011486194,-0.0394066314428618,2
APOO,1.51822631096631,0.128957356833484,0.462660011486194,-0.0645344857179704,2
ELL,-1.51815235968414,0.128975994148337,0.462660011486194,-0.1213703771934,2
ZNF324B,1.51804467724069,0.129003136183781,0.462660011486194,0.270064857801343,2
FBXO41,-1.51799602758742,0.129015400089255,0.462660011486194,-0.385970875669626,2
RPLP2P1,-1.51760166287375,0.129114847417423,0.462673670009635,0.0872033682177792,2
NDUFAB1,-1.51748682182675,0.129143818186436,0.462673670009635,-0.0665531339955767,3
OLA1,-1.51742153026505,0.12916029143661,0.462673670009635,-0.080598589519807,3
TRIM17,1.51729547684877,0.129192099696144,0.462673670009635,0.534263754700194,3
ZNF510,-1.51727753352362,0.129196628001003,0.462673670009635,-0.109765602473552,2
LGALS13,1.51680995321643,0.129314673355838,0.462737080565766,0.358761036795625,2
PROC,1.51641062456611,0.129415554197484,0.462737080565766,0.161942004192141,3
ENTPD1-AS1,-1.51639243645012,0.129420150445215,0.462737080565766,-0.0129236432616841,2
KCNMB1,1.51635558083748,0.129429464471789,0.462737080565766,-0.221536914781892,2
SSTR5,-1.51618279135299,0.129473138190885,0.462737080565766,-0.179234655577261,2
CDKL1,1.51614322622294,0.129483140157038,0.462737080565766,-0.23991135921557,2
KCNAB3,1.51597365420394,0.129526014337008,0.462737080565766,0.389747309755858,3
FBXO7,1.51595458612285,0.12953083615402,0.462737080565766,0.243329672514822,3
LCP1,-1.51591974793682,0.129539646176444,0.462737080565766,-0.0242906273822062,2
MPHOSPH8,-1.51551538225086,0.129641937864548,0.462737080565766,-0.393259650170847,3
S100A11,-1.51547351296087,0.12965253304856,0.462737080565766,0.092276855324803,2
SMARCA2,-1.51535570876538,0.129682347457933,0.462737080565766,-0.126441356829183,3
TMEM59L,1.51488501487009,0.129801525888044,0.462737080565766,0.759468963105386,3
HSPB1,-1.51484059605726,0.1298127770013,0.462737080565766,0.249090914854226,2
SLC13A3,1.51482542522949,0.129816619886661,0.462737080565766,0.0838109639038487,3
IRS1,-1.51475937374547,0.129833352256209,0.462737080565766,0.010780953253676,2
IFI44,1.51459459933476,0.129875100725738,0.462737080565766,0.308536195676462,3
PSMF1,-1.51455771606841,0.129884447171518,0.462737080565766,-0.0495616937383779,2
PYCR1,1.51454125017038,0.129888619899586,0.462737080565766,0.164834014832726,2
PTDSS2,-1.51353005204331,0.130145073536937,0.463252815998224,-0.0783749801953686,2
ATOH1,1.51352205960703,0.130147102091936,0.463252815998224,0.191637128201834,3
CUL7,1.51329381420918,0.130205043263643,0.463252815998224,0.536709696555049,2
EIF4EBP3,1.51328707682887,0.130206753883567,0.463252815998224,0.159176730071675,3
XCL2,-1.51327025034797,0.130211026200897,0.463252815998224,0.146585229521689,2
AIP,-1.51301943036852,0.130274723391958,0.46333131187629,0.0847557704269009,2
GPATCH2,1.51277689022069,0.130336340864995,0.46333131187629,-0.0704652223435842,2
PDHA1,1.51276369954873,0.130339692611568,0.46333131187629,0.00572934848688782,2
GSDMB,1.51129262824283,0.130713911306751,0.464492381368428,0.0763454981550021,2
IFNA10,1.51119977549966,0.130737559599826,0.464492381368428,-0.311113015938778,2
FASLG,1.51099318796188,0.130790186457703,0.464552776143281,-0.186124230855758,2
BZW2,1.510690917815,0.130867217457951,0.464699795325223,0.0733506801759751,3
GABRQ,1.51038843469879,0.130944337952053,0.464794634539747,-0.0522630990630237,2
CBLB,-1.51030463387531,0.130965709877273,0.464794634539747,0.0649343590851892,2
COL4A1,-1.51016681027012,0.131000865245308,0.464794634539747,-0.167602461460106,3
GPT,-1.50951893249916,0.131166220790522,0.465254720589667,-0.387252304200569,3
H3C10,1.50936547695365,0.131205410401405,0.465267159701911,-0.0246843437190285,2
