gene,meta_Z,meta_P,meta_FDR,mean_logFC,n_consistent
PRNP,1.4610808279547,0.143993260963742,0.345098720922728,0.0246924189276537,2
VGLL1,1.46084252141348,0.144058663561309,0.345098720922728,0.401848534836319,3
DCUN1D1,1.4607772166998,0.14407659024173,0.345098720922728,0.186575961346406,3
UQCRQ,1.46070748545797,0.144095733928521,0.345098720922728,0.345168493709484,4
DYNC1I2,1.46063391030183,0.144115935019665,0.345098720922728,0.0532972644859577,3
CACNB1,-1.46008609462081,0.144266413769182,0.34538249147489,-0.0318243704870595,3
OCLM,1.45991017690221,0.144314761909021,0.345421683612065,0.0442617121440949,3
RARG,-1.45969814982539,0.144373050625905,0.345471353231831,0.0682294585988059,3
NOTCH2NL,1.45960204153131,0.144399477859815,0.345471353231831,0.214577055181572,3
POLR2H,-1.45846172153526,0.144713318673049,0.346023979660598,-0.0899853813327303,4
RBM10,-1.45833963942283,0.144746949269008,0.346023979660598,-0.300215140927733,4
DYNC2LI1,-1.4583074202,0.144755825864965,0.346023979660598,-0.0691975044106885,3
CHRNA3,1.45829736240821,0.144758596934479,0.346023979660598,0.240874063835205,3
ACR,1.45815424911717,0.14479803115418,0.346041666488374,0.255053934834952,4
SOX10,1.45720743908229,0.145059127751639,0.346531704909492,0.6254141632272,3
CTNNA2,1.45717802823059,0.14506724399192,0.346531704909492,0.283883817889034,4
TGFBR1,1.45705400010918,0.145101474710129,0.346536840552468,0.376376384475042,3
CD1D,-1.45649918232466,0.145254675496008,0.34682603994427,-0.361077296157951,3
ADAMTS7,1.45552257061927,0.145524646346781,0.347321005533633,0.800432544457837,2
CRHR1,-1.45551666699633,0.145526279489467,0.347321005533633,-0.242524681204029,3
RAB35,1.45500876028083,0.145666836289297,0.347557606851773,0.389685375545415,3
RHEB,1.4549259414483,0.145689765212445,0.347557606851773,-0.0955337269174293,2
PRDM9,1.45467244596577,0.145759964229285,0.347583143250552,0.217909147061473,3
TMSB10,1.45465489695202,0.145764824932883,0.347583143250552,0.365532442923325,2
KCNB2,1.45433926031698,0.145852270756151,0.347679576184201,0.592032007542667,3
HPR,1.4542765871036,0.145869638887873,0.347679576184201,0.131844737382699,3
KPNA5,-1.45404264893211,0.145934482305791,0.347757396396902,0.0905056662480899,3
TAOK2,1.45389563758413,0.145975242472344,0.34777780529031,-0.0136476176676704,3
URM1,1.4533766904026,0.146119194732729,0.348044000331409,0.0588069241017154,3
GPR12,1.45324712489249,0.146155152226796,0.348052899989825,0.173232703414768,4
DLD,-1.45309835075875,0.146196448919636,0.348068193966718,-0.0238077944880487,2
ZNF574,-1.45299183996927,0.146226019646451,0.348068193966718,0.115357031657405,2
ABCB4,-1.45286528784723,0.14626116042357,0.348075138774047,0.298565006493728,3
ABCB11,1.45251129403757,0.14635949113894,0.348232428035866,0.1325348516631,3
PCGF2,-1.45211579134585,0.146469411810115,0.348417217875549,-0.204685318557352,3
DHPS,-1.4506240952313,0.146884562049464,0.349327837793551,-0.473513267346321,3
ADRA2A,1.44946665538016,0.147207305821775,0.350018339750565,0.293028602951369,3
SP3,-1.44907783254335,0.147315847848735,0.350199337249569,-0.0565338300453313,3
HSPA12A,1.44862433657976,0.147442521017248,0.350335453450285,0.335185141865799,3
JAG2,-1.44853336635543,0.147467941380384,0.350335453450285,-0.0248356663445667,3
NRN1,-1.44832823814011,0.147525273899068,0.350335453450285,-0.187833337085788,3
WNT16,-1.44824482785783,0.147548591612325,0.350335453450285,0.0992655101302547,3
DMWD,-1.44824261568998,0.147549210071974,0.350335453450285,-0.00519055968238136,3
NUDT4,-1.44798570715419,0.147621047919954,0.350335453450285,-0.137984817419363,4
MTMR6,-1.44797396571894,0.147624331748246,0.350335453450285,-0.140313358258503,3
MAP1B,1.4478694841888,0.147653555456249,0.350335453450285,0.457042719889029,2
IL25,-1.44782857505383,0.147664999033433,0.350335453450285,0.164296688644564,3
SNCA,-1.44762298070889,0.147722520528972,0.350368327114733,-0.0877794642954108,2
CHST10,1.44754720259384,0.147743726162526,0.350368327114733,0.499325205741257,3
CPLX2,1.44740003513578,0.147784915928161,0.350389082935908,0.46901480281813,3
PIK3R1,-1.44692858277729,0.147916926821367,0.350625113786351,-0.0201793072832371,2
POLR1D,-1.44666271085719,0.147991413069399,0.350724713465479,-0.369290928445133,3
ACAN,-1.44649902340885,0.148037285731957,0.350756473015266,-0.138534699468317,3
BLM,-1.44630502999897,0.148091665568124,0.350808370935719,-0.248943913358599,3
ZMYND10,1.44579605749118,0.148234412245793,0.35106952884873,0.241725536777575,3
CMA1,1.44550751898497,0.148315382564528,0.351184296900929,0.600988048636329,2
PIP4K2C,1.44525027397332,0.148387599714841,0.351278293254374,0.13067173160583,3
DYNLL1,1.44492425434367,0.148479162750084,0.351418035939177,0.218559493006569,3
L1TD1,-1.44433944516652,0.148643515276686,0.35170039979685,-0.0726023631924267,3
MAP3K9,-1.44417726758964,0.148689117635203,0.35170039979685,-0.27580581081166,3
KCTD12,1.44411642801104,0.148706227738576,0.35170039979685,0.497107479460727,4
DSP,1.44403652703568,0.148728700821331,0.35170039979685,-0.311725479880257,2
IRGQ,1.44355889720412,0.148863093877645,0.351888339487507,0.118637104646025,3
RPL5,-1.44352253149267,0.148873330073867,0.351888339487507,-0.116397017314194,3
NNAT,1.44271464525368,0.149100871952198,0.352321691144443,0.445427619440811,3
CDH8,1.44250992796135,0.149158572894825,0.352321691144443,0.227761960316996,3
