gene,logFC,AveExpr,t,P.Value,adj.P.Val,B,cohort,disease
SCUBE2,-0.70947957652816,2.31070333048111,-3.02128996811903,0.00501784174966186,0.94624455191332,-3.79419635694005,GSE7158,OP
NCOA7,0.33436132076721,8.06526136993324,3.01423277344328,0.00510856951316425,0.94624455191332,-3.79771285522788,GSE7158,OP
CSKMT,0.689345084420618,5.02052372403349,3.01391755752919,0.00511265800242787,0.94624455191332,-3.79786988731275,GSE7158,OP
HNRNPD,-0.166382658994511,9.53825197972936,-3.01057894606506,0.00515615202010579,0.94624455191332,-3.79953290584372,GSE7158,OP
ZNF343,-0.299452606397735,5.85917444739107,-3.01021533131929,0.0051609101527709,0.94624455191332,-3.79971400766393,GSE7158,OP
YARS2,-0.352853382958072,6.15164915399481,-3.00915315258454,0.00517483328081871,0.94624455191332,-3.80024301249885,GSE7158,OP
ACOD1,0.661934085645012,4.80379126765956,2.99975132739425,0.00529963413216815,0.94624455191332,-3.80492393348393,GSE7158,OP
CEP112,-0.878868002087337,3.56984406434668,-2.99519589886332,0.00536112345645791,0.94624455191332,-3.80719095306519,GSE7158,OP
NPR3,0.985577449304584,4.2927495010337,2.99387901260279,0.0053790243034297,0.94624455191332,-3.80784618037306,GSE7158,OP
FTH1,0.188065152466269,12.4669960238655,2.97818614810438,0.00559674289230128,0.94624455191332,-3.81564992714095,GSE7158,OP
